blunderbuss 喇叭枪
rainforesttree 雨林树
clawplamtree 棕榈爪树
teatree 茶树
evergreen 常青树
evergreen_sparse 不结果的常青树
deciduoustree 橡树
jungletree 海难丛林树
thumper 重击器
telipad 传送平台
telebrella 传送伞
oinc 1元呼噜币
oinc10 10元
oinc100 100元
alloy 合金
feather_thunder 雷鸟羽毛
lotus_flower 睡莲
beewax 蜂蜡
statue_transition 暗影特效1
statue_transition_2 暗影特效2
collapse_small 小烟雾
deciduoustree 桦树
birchnutdrake 桦树果精
acorn 桦树果
pinecone 松果
jungletreeseed 海难丛林树果
boat_death 乘船死亡时的特效
cork_bat 软木棒
onemanband 独奏乐器
panflute 排箫
sewing_kit 针线包
crawlingnightmare 洞二的爬行影怪
nightmarebeak 洞二的尖嘴影怪
swimminghorror 水影怪
flare 信号火箭
packim 鹈鹕
dragonfurnace 龙蝇火炉
smallbird 小高鸟
bird_egg 鸟蛋
tallbirdegg 高鸟蛋
twister 豹卷风
tigershark 虎鲨
kraken 海妖
pugalisk 大蛇
pugalisk_body 大蛇无鳞躯体
